customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
65,Tommy Walter,tommy.walter65@outlook.com,United States,2021-06-19,Standard,582.23
66,Daniel Wagner,daniel.wagner66@icloud.com,Australia,2024-10-17,Standard,334.59
67,Dott. Tatiana Verdone,dott.tatiana.verdone67@proton.me,Italy,2021-09-02,Standard,1527.08
68,Nathaniel Sami,nathaniel.sami68@yahoo.com,India,2024-10-26,Premium,1940.56
69,Matthew Foster,matthew.foster69@gmail.com,Japan,2024-01-05,Standard,561.72
70,Judy Baker,judy.baker70@icloud.com,United States,2024-07-22,Basic,530.9
2119,Buenaventura de Bonet,buenaventura.de.bonet71@yahoo.com,Spain,2021-10-27,Basic,572.27
72,Justin Baker,justin.baker72@gmail.com,Japan,2022-01-04,Basic,249.23
73,Ileana Antón-Andrés,ileana.anton.andres73@proton.me,Spain,2022-10-13,Standard,1449.17
74,Stephanie Ross,stephanie.ross74@gmail.com,United States,2025-04-11,Standard,1497.37
75,Paul Dobes-Stey,paul.dobes.stey75@outlook.com,Germany,2022-07-21,Standard,1239.05
76,Nigel Edwards,nigel.edwards76@outlook.com,United Kingdom,2020-10-11,Basic,213.41
77,Arunima Dugal,arunima.dugal77@hotmail.com,India,2026-01-05,Standard,195.54
78,Zachary Hicks,zachary.hicks78@outlook.com,Japan,2022-01-01,Standard,1772.86
79,Anthony Rodriguez,anthony.rodriguez79@icloud.com,United States,2024-11-14,Standard,1447.61
80,Klemens Löchel,klemens.lochel80@icloud.com,Germany,2021-04-18,Standard,1101.37
81,Rebecca Henderson,rebecca.henderson81@proton.me,United States,2024-11-21,Premium,4224.63
82,Gina Moore,gina.moore82@proton.me,Canada,2022-03-18,Standard,265.46
83,Denis-Franck Ledoux,denis.franck.ledoux83@outlook.com,France,2023-07-09,Standard,355.63
84,James Ferrell,james.ferrell84@icloud.com,Japan,2023-06-20,Standard,688.2
85,Caroline Morin,caroline.morin85@icloud.com,France,2021-06-05,Premium,3260.24
86,Abdul Burton-Patterson,abdul.burton.patterson86@proton.me,United Kingdom,2021-12-13,Standard,646.57
87,Gabrielle Davis,gabrielle.davis87@gmail.com,Canada,2023-05-29,Standard,859.32
88,Ryan Munoz,ryan.munoz88@proton.me,Canada,2023-08-12,Standard,879.56
89,Tricia Valencia,tricia.valencia89@hotmail.com,United States,2021-11-26,Standard,618.25
90,Brigitte Pelletier,brigitte.pelletier90@icloud.com,France,2023-10-04,Premium,4322.4
91,Nathan Maldonado,nathan.maldonado91@outlook.com,United States,2022-07-09,Basic,124.46
92,Debra Davidson,debra.davidson92@hotmail.com,United States,2020-10-25,Standard,1612.13
93,Monica Herrera,monica.herrera93@proton.me,Canada,2024-04-21,Standard,552.57
94,Gayathri Chaudry,gayathri.chaudry94@gmail.com,India,2021-03-12,Basic,172.72
95,Finn Jansdr-Goyaerts van Waderle,finn.jansdr.goyaerts.van.waderle95@proton.me,Netherlands,2025-10-22,Standard,1069.72
96,César Guerrero Vazquez,cesar.guerrero.vazquez96@gmail.com,Spain,2025-02-12,Premium,2519.18
97,Jamie Arnold,jamie.arnold97@icloud.com,Canada,2023-07-23,Basic,626.71
98,Lajita Chatterjee,lajita.chatterjee98@proton.me,India,2025-08-29,Standard,1646.31
99,Alexandre Davids,alexandre.davids99@yahoo.com,Germany,2025-04-28,Standard,1390.43
100,Dra. Aurora Pastor,dra.aurora.pastor100@outlook.com,Brazil,2025-11-05,Standard,544.76
101,Eric Pärtzelt B.Sc.,eric.partzelt.b.sc101@proton.me,Germany,2023-03-16,Standard,704.15
102,Jeffrey Chavez,jeffrey.chavez102@gmail.com,Japan,2021-07-20,Premium,2217.23
103,Sherri Baker,sherri.baker103@yahoo.com,United States,2020-09-20,Standard,695.95
104,Orhan Seip MBA.,orhan.seip.mba104@gmail.com,Germany,2022-04-27,Basic,287.9
105,Cristian Santos,cristian.santos105@proton.me,Australia,2020-03-21,Basic,541.78
106,Sarah Reed-Walsh,sarah.reed.walsh106@gmail.com,United Kingdom,2023-12-11,Standard,793.48
107,Cassandra Gaines,cassandra.gaines107@hotmail.com,Japan,2026-01-13,Basic,393.64
108,Hemangini Lalla,hemangini.lalla108@yahoo.com,India,2025-06-22,Standard,869.13
109,Elizabeth Fowler,elizabeth.fowler109@outlook.com,United States,2024-07-14,Basic,592.34
110,Alba Mar Flor Rivas,alba.mar.flor.rivas110@icloud.com,Spain,2025-12-27,Premium,2257.87
111,Lisa Hensley,lisa.hensley111@gmail.com,Canada,2020-12-09,Standard,373.9
112,Dipl.-Ing. Klaus-Werner Holsten B.Sc.,dipl.ing.klaus.werner.holsten.b.sc112@gmail.com,Germany,2022-12-01,Standard,499.24
113,Miss Olivia Bryan,miss.olivia.bryan113@hotmail.com,United Kingdom,2023-02-13,Basic,586.55
114,Brittany Farmer,brittany.farmer114@gmail.com,United States,2025-04-10,Premium,2795.85
115,Clara Benjamín Trejo,clara.benjamin.trejo115@outlook.com,Mexico,2022-07-07,Standard,1439.03
116,Tripti Yadav,tripti.yadav116@gmail.com,India,2022-10-09,Premium,875.41
117,Paula Moreno,paula.moreno117@yahoo.com,United States,2025-04-23,Standard,1080.55
118,Fred Smith,fred.smith118@proton.me,United States,2022-11-15,Basic,138.26
119,Kritika Brar,kritika.brar119@proton.me,India,2021-04-14,Basic,135.54
120,Dr Lee Green,dr.lee.green120@icloud.com,United Kingdom,2020-04-15,Basic,413.66
121,Sherry Decker,sherry.decker121@hotmail.com,Japan,2024-06-12,Basic,158.87
122,Janaki Handa,janaki.handa122@proton.me,India,2022-09-21,Premium,3658.18
123,Ana Beatriz Alves,ana.beatriz.alves123@icloud.com,Brazil,2021-05-10,Basic,407.0
124,Anthony Humphrey,anthony.humphrey124@icloud.com,United States,2024-10-20,Standard,263.78
125,Chakradev Kari,chakradev.kari125@gmail.com,India,2024-09-16,Basic,96.24
126,Piersanti Balbi,piersanti.balbi126@proton.me,Italy,2025-02-26,Basic,318.95
127,Connie Lawrence,connie.lawrence127@proton.me,Australia,2023-01-11,Standard,1667.37
128,Abigail Shaffer,abigail.shaffer128@hotmail.com,Australia,2024-11-19,Basic,424.92
129,Eleanor Baker,eleanor.baker129@yahoo.com,United Kingdom,2020-12-20,Standard,893.82
130,Gina Moore,gina.moore130@icloud.com,Australia,2024-04-01,Standard,965.61
131,Wayne Gough,wayne.gough131@hotmail.com,United Kingdom,2022-05-18,Standard,576.28
132,Angelica Tucker,angelica.tucker132@icloud.com,United States,2023-02-05,Standard,1002.43
133,Philip Cannon,philip.cannon133@yahoo.com,United States,2024-07-22,Standard,1400.97
134,Julie Bertrand,julie.bertrand134@proton.me,France,2025-07-03,Standard,178.45
135,Bernard Wilkinson-Simpson,bernard.wilkinson.simpson135@hotmail.com,United Kingdom,2022-09-23,Standard,1109.57
136,Univ.Prof. Heimo Karge,univ.prof.heimo.karge136@icloud.com,Germany,2023-11-09,Standard,1380.79
137,Mrs Julia Harris,mrs.julia.harris137@proton.me,United Kingdom,2025-02-01,Standard,564.82
138,John Pierce,john.pierce138@yahoo.com,United States,2023-07-16,Premium,2782.7
139,Gabrielle Davis,gabrielle.davis139@yahoo.com,Australia,2022-02-23,Standard,948.93
140,Chantal Hoareau,chantal.hoareau140@icloud.com,France,2023-03-05,Basic,587.02
141,Dylan Young,dylan.young141@outlook.com,United Kingdom,2022-01-04,Standard,1318.23
142,Shane Henderson,shane.henderson142@gmail.com,United States,2020-08-11,Standard,1300.74
143,Joshua Blair,joshua.blair143@hotmail.com,United States,2021-02-24,Basic,412.49
144,Carolin Hande,carolin.hande144@hotmail.com,Germany,2023-10-27,Premium,990.09
145,Carmelo Galeati,carmelo.galeati145@hotmail.com,Italy,2021-04-12,Basic,295.48
146,Eric Carney,eric.carney146@proton.me,United States,2020-08-07,Premium,3801.23
147,Toni Avogadro,toni.avogadro147@gmail.com,Italy,2022-10-13,Premium,3628.44
148,Fariq Kaul,fariq.kaul148@icloud.com,India,2022-07-13,Basic,281.76
149,Jessica Holmes,jessica.holmes149@outlook.com,Japan,2026-08-07,Basic,231.13
150,Lajita Mall,lajita.mall150@icloud.com,India,2021-02-10,Basic,165.26
151,Danny Morgan,danny.morgan151@proton.me,United States,2020-11-28,Premium,1443.11
152,Crystal Robinson,crystal.robinson152@gmail.com,United States,2024-07-31,Standard,1129.79
153,Ms Lindsey Rees,ms.lindsey.rees153@yahoo.com,United Kingdom,2023-03-26,Basic,499.52
154,Auguste Davids,auguste.davids154@proton.me,Germany,2022-08-14,Basic,556.78
155,Janya Gaba,janya.gaba155@proton.me,India,2022-03-21,Standard,1048.53
156,Isha Kadakia,isha.kadakia156@outlook.com,India,2021-08-05,Premium,1413.91
157,Geoffrey Griffin,geoffrey.griffin157@proton.me,United Kingdom,2026-05-20,Basic,321.43
158,Ariane Klemt-Kaul,ariane.klemt.kaul158@outlook.com,Germany,2024-07-06,Basic,362.82
159,Rosalia Beyer,rosalia.beyer159@gmail.com,Germany,2020-06-12,Basic,520.81
160,Ekbal Garg,ekbal.garg160@gmail.com,India,2021-01-09,Standard,1262.59
161,Henrique da Conceição,henrique.da.conceicao161@icloud.com,Brazil,2020-03-25,Basic,478.79
162,Mark Perez,mark.perez162@gmail.com,United States,2021-12-18,Standard,1224.99
163,Jacobo del Agudo,jacobo.del.agudo163@yahoo.com,Spain,2026-07-25,Standard,1493.5
164,Emma Verdone,emma.verdone164@hotmail.com,Italy,2023-11-26,Standard,679.75
165,Shannon Jones,shannon.jones165@yahoo.com,United States,2023-09-12,Standard,967.52
166,Robert Cousin,robert.cousin166@hotmail.com,France,2026-03-03,Premium,1125.82
167,Michael Lewis,michael.lewis167@gmail.com,United States,2024-07-13,Basic,581.83
168,Timothy Duncan,timothy.duncan168@icloud.com,United States,2025-03-07,Standard,459.51
169,Megan Taylor,megan.taylor169@hotmail.com,United Kingdom,2024-12-15,Basic,162.4
170,Michele Williams,michele.williams170@outlook.com,Canada,2024-11-29,Basic,352.18
171,Richard Aguirre,richard.aguirre171@proton.me,United States,2022-09-07,Basic,234.76
172,Brent Jordan,brent.jordan172@hotmail.com,United States,2021-01-16,Standard,1538.32
173,John Daniel,john.daniel173@gmail.com,United States,2021-09-22,Standard,1332.4
174,Dylan Miller,dylan.miller174@outlook.com,Canada,2024-08-28,Basic,686.67
175,Victoria Garcia,victoria.garcia175@icloud.com,United States,2021-08-15,Standard,1671.08
176,Brian Ramirez,brian.ramirez176@yahoo.com,Canada,2020-10-12,Standard,1453.51
177,Kathrin Ebert MBA.,kathrin.ebert.mba177@icloud.com,Germany,2022-12-30,Basic,215.92
178,Miss Carole Woods,miss.carole.woods178@icloud.com,United Kingdom,2026-07-03,Basic,355.51
179,Gerald Hensley,gerald.hensley179@icloud.com,United States,2025-06-06,Standard,1060.66
180,Holly Wood,holly.wood180@hotmail.com,Canada,2023-08-11,Basic,687.02
181,Connor West,connor.west181@hotmail.com,United States,2022-08-14,Basic,302.27
182,Ms Sheila Evans,,United Kingdom,2024-04-10,Standard,1245.09
183,Melle van Brenen,melle.van.brenen183@yahoo.com,Netherlands,2025-07-21,Basic,110.22
184,Fabia Salandra,fabia.salandra184@outlook.com,Italy,2021-02-15,Basic,322.21
185,Derek Zuniga,derek.zuniga185@hotmail.com,Canada,2020-03-03,Basic,301.74
186,Nihal Shere,nihal.shere186@yahoo.com,India,2020-11-02,Standard,1749.19
187,Aaron Harrison,aaron.harrison187@proton.me,United Kingdom,2024-06-16,Standard,1555.41
188,Amanda Novais,amanda.novais188@icloud.com,Brazil,2024-04-05,Basic,448.09
189,Donald Wright,donald.wright189@hotmail.com,Japan,2026-01-25,Premium,1053.16
190,Anamika Kanda,anamika.kanda190@outlook.com,India,2022-07-20,Basic,317.93
191,Jessica Callahan,jessica.callahan191@proton.me,United States,2021-02-15,Standard,1295.1
192,Amber Kidd,amber.kidd192@gmail.com,Japan,2023-08-21,Basic,223.02
193,Brandon Hammond,brandon.hammond193@yahoo.com,United Kingdom,2022-09-27,Standard,1083.78
194,Amin Gellemeyer,amin.gellemeyer194@yahoo.com,Netherlands,2021-12-18,Premium,4022.11
195,Daksh Karnik,daksh.karnik195@yahoo.com,India,2025-07-31,Basic,121.6
196,Karl-Dieter Hornig,karl.dieter.hornig196@outlook.com,Germany,2025-02-25,Standard,165.51
197,Floris van de Elzas-Blonk,floris.van.de.elzas.blonk197@outlook.com,Netherlands,2026-02-16,Premium,2434.4
198,Graham Wilkinson,graham.wilkinson198@icloud.com,United Kingdom,2023-05-10,Standard,850.11
199,Tracy House,tracy.house199@outlook.com,United States,2022-03-26,Basic,601.0
200,Carol Tucker,carol.tucker200@hotmail.com,United States,2026-05-31,Standard,638.19
201,Maryse Verdier de la Fischer,maryse.verdier.de.la.fischer201@gmail.com,France,2024-06-09,Standard,1083.78
202,Alphonse Peltier,alphonse.peltier202@proton.me,France,2020-07-19,Basic,527.99
203,Yago Leão,yago.leao203@outlook.com,Brazil,2022-07-31,Standard,731.33
204,Diya Rattan,diya.rattan204@icloud.com,India,2022-10-23,Standard,1339.53
205,Dominic Kakar,dominic.kakar205@yahoo.com,India,2021-02-01,Basic,461.28
206,Amanda Hall,amanda.hall206@hotmail.com,United Kingdom,2020-05-16,Standard,1358.39
207,James Brown,james.brown207@outlook.com,United States,2023-08-31,Basic,143.56
208,William Baker,william.baker208@icloud.com,United States,2024-02-07,Standard,1657.25
209,Pietro Pastor,pietro.pastor209@outlook.com,Brazil,2025-05-27,Basic,224.22
210,Jordan Henderson,jordan.henderson210@gmail.com,Japan,2025-04-02,Basic,120.01
211,Gianna Alboni,gianna.alboni211@proton.me,Italy,2024-06-15,Basic,568.1
212,Frances Holmes-Lloyd,frances.holmes.lloyd212@hotmail.com,United Kingdom,2020-02-27,Standard,353.92
213,Mrs Pauline Fuller,mrs.pauline.fuller213@proton.me,United Kingdom,2022-12-09,Standard,1506.99
214,Piersanti Morpurgo,piersanti.morpurgo214@gmail.com,Italy,2022-08-15,Standard,1172.25
215,Ermanno Gabrieli-Morandini,ermanno.gabrieli.morandini215@outlook.com,Italy,2022-06-25,Standard,1198.42
216,Leonie Gröttner,leonie.grottner216@proton.me,Germany,2023-05-22,Standard,342.52
217,Whitney Peters,whitney.peters217@gmail.com,United States,2023-05-31,Basic,103.38
218,Brittney Phillips,brittney.phillips218@icloud.com,United States,2021-07-09,Standard,762.17
219,Carmelo Parmitano,carmelo.parmitano219@proton.me,Italy,2026-01-21,Standard,1374.74
220,Lauren Daniels,lauren.daniels220@hotmail.com,United States,2021-02-09,Basic,440.57
221,Paco Rocamora Nieto,paco.rocamora.nieto221@outlook.com,Spain,2020-05-14,Standard,508.49
222,Anatoli Speer,anatoli.speer222@yahoo.com,Germany,2024-01-25,Premium,3337.02
223,Lisa Jackson,lisa.jackson223@proton.me,Canada,2024-01-09,Premium,1820.76
224,Micheletto Muratori,micheletto.muratori224@hotmail.com,Italy,2021-01-10,Standard,1208.81
225,Simon Tata,simon.tata225@gmail.com,India,2020-07-26,Basic,189.41
226,Amy Silva,amy.silva226@icloud.com,United States,2022-04-20,Premium,3631.08
227,Sarah Moore,sarah.moore227@yahoo.com,United States,2022-08-12,Standard,393.46
228,Angela Lopez,angela.lopez228@gmail.com,Japan,2023-02-09,Basic,122.66
229,Megan Young,megan.young229@outlook.com,United States,2021-12-15,Premium,4005.86
230,Steve Sanchez,steve.sanchez230@outlook.com,United States,2022-09-01,Standard,176.04
231,Lisa Barnes,lisa.barnes231@yahoo.com,United States,2024-09-20,Standard,1380.35
232,Ing. Arnulf Heintze B.Sc.,ing.arnulf.heintze.b.sc232@outlook.com,Germany,2025-10-03,Standard,895.81
233,Kelly Donovan,kelly.donovan233@icloud.com,United States,2020-06-26,Basic,638.41
234,Tara Dhar,tara.dhar234@outlook.com,India,2025-02-19,Standard,201.4
235,Rosa Pichardo Aparicio,rosa.pichardo.aparicio235@hotmail.com,Mexico,2024-10-12,Standard,958.94
236,Mike Allen,mike.allen236@gmail.com,Japan,2020-11-26,Standard,394.75
237,Michael Evans,michael.evans237@icloud.com,United States,2026-07-25,Standard,686.56
238,Aurelio Gamez Gonzales,aurelio.gamez.gonzales238@icloud.com,Mexico,2023-04-22,Standard,1148.95
239,Paul Jones,paul.jones239@proton.me,United States,2021-04-13,Basic,464.37
240,Ryan Munoz,ryan.munoz240@proton.me,Australia,2022-05-30,Standard,1615.35
241,Erika Metz-Schuster,erika.metz.schuster241@hotmail.com,Germany,2024-06-21,Standard,306.89
242,Cathrin Koch II,cathrin.koch.ii242@proton.me,Germany,2022-11-10,Standard,401.85
243,Casemiro Garrido-Navarro,casemiro.garrido.navarro243@gmail.com,Spain,2021-01-08,Basic,87.93
244,Zachary Ferrell,zachary.ferrell244@proton.me,United States,2024-03-06,Basic,400.55
245,Liam Koshy,liam.koshy245@icloud.com,India,2026-04-19,Standard,351.68
246,Dr Marc Phillips,dr.marc.phillips246@proton.me,United Kingdom,2024-09-28,Basic,511.72
247,Gelsomina Battaglia,gelsomina.battaglia247@icloud.com,Italy,2023-07-03,Standard,1103.57
248,Daniel Baker,daniel.baker248@proton.me,United States,2025-05-29,Standard,328.56
249,André Teixeira,andre.teixeira249@outlook.com,Brazil,2021-04-15,Basic,412.52
250,Raf van der Spaendonc-van Bernicia,raf.van.der.spaendonc.van.bernicia250@icloud.com,Netherlands,2026-03-30,Premium,4237.61
251,Kian Schilt-Amalrada,kian.schilt.amalrada251@outlook.com,Netherlands,2020-04-28,Premium,3399.99
252,Ruth Hawkins,ruth.hawkins252@outlook.com,United Kingdom,2023-12-08,Premium,4018.49
253,Carla Gray,carla.gray253@hotmail.com,Canada,2020-10-12,Premium,3142.74
254,Shirley Suarez,shirley.suarez254@proton.me,United States,2025-12-12,Standard,842.72
255,Ms Jill Morley,ms.jill.morley255@outlook.com,United Kingdom,2023-06-30,Basic,549.36
256,Margaret Hawkins DDS,margaret.hawkins.dds256@gmail.com,Canada,2020-08-03,Premium,3591.41
257,Christopher Bass,christopher.bass257@gmail.com,United States,2023-01-19,Standard,849.62
258,Priya Rastogi,priya.rastogi258@hotmail.com,India,2023-01-23,Standard,995.37
259,Bernard Wilkins,bernard.wilkins259@gmail.com,United Kingdom,2023-03-06,Standard,1128.67
260,Patty Perez,patty.perez260@outlook.com,Canada,2020-07-05,Standard,1774.34
261,Lisa Archer,lisa.archer261@yahoo.com,United States,2023-05-19,Basic,542.96
262,Monica Herrera,monica.herrera262@outlook.com,Australia,2023-09-05,Premium,2640.33
263,Delia Steckel,delia.steckel263@yahoo.com,Germany,2024-04-06,Standard,529.68
264,Ethan Adams,ethan.adams264@proton.me,Canada,2023-12-21,Premium,3988.53
265,Aimee Montoya,aimee.montoya265@gmail.com,United States,2025-02-26,Basic,606.92
266,Tommy Walter,tommy.walter266@icloud.com,Canada,2024-07-14,Basic,306.94
267,Matthew Mcmillan,matthew.mcmillan267@gmail.com,United States,2023-08-23,Premium,4306.17
268,Mechtild Stoll,mechtild.stoll268@proton.me,Germany,2024-01-22,Premium,3924.59
269,Brian Rodriguez,brian.rodriguez269@icloud.com,United States,2024-06-28,Standard,803.02
270,Catherine Morris,catherine.morris270@outlook.com,United Kingdom,2022-06-26,Standard,427.42
271,Matthew Foster,matthew.foster271@gmail.com,Canada,2025-12-13,Standard,1644.77
272,Wayne Morris,wayne.morris272@proton.me,United Kingdom,2021-08-27,Standard,391.63
273,Denise Jacobs,denise.jacobs273@icloud.com,United States,2021-09-18,Basic,467.47
274,Christina Walters,christina.walters274@proton.me,United States,2025-07-16,Standard,1080.16
275,Judy Baker,judy.baker275@proton.me,Canada,2026-05-01,Standard,1777.78
276,Dr Paula Lloyd,dr.paula.lloyd276@proton.me,United Kingdom,2023-07-18,Premium,1052.66
277,Leif Schuster,leif.schuster277@outlook.com,Germany,2023-01-30,Standard,730.7
278,John Whitehead,john.whitehead278@hotmail.com,United States,2025-01-25,Premium,2164.33
279,Kathryn Hughes,kathryn.hughes279@proton.me,United Kingdom,2021-01-04,Standard,986.66
280,Prof. Ottokar Henschel,prof.ottokar.henschel280@icloud.com,Germany,2020-06-17,Standard,1486.2
281,Theodore Devi,theodore.devi281@outlook.com,India,2025-05-02,Standard,1730.24
282,Dipl.-Ing. Hans-Herbert Hiller,dipl.ing.hans.herbert.hiller282@outlook.com,Germany,2020-12-11,Standard,434.72
283,Anna Henderson,anna.henderson283@hotmail.com,United States,2024-12-04,Standard,1156.18
284,Mr William Gould,mr.william.gould284@outlook.com,United Kingdom,2024-05-05,Standard,708.31
285,Gavin Batta,gavin.batta285@proton.me,India,2023-10-02,Premium,1149.67
286,William Chevalier-Rey,william.chevalier.rey286@outlook.com,France,2022-10-29,Basic,468.18
287,Aaron Wise,aaron.wise287@yahoo.com,Japan,2023-09-27,Premium,3255.36
288,Arturo Pinto Caballero,arturo.pinto.caballero288@outlook.com,Spain,2024-05-24,Premium,3422.69
289,Deborah Figueroa,deborah.figueroa289@icloud.com,United States,2024-03-22,Standard,691.99
290,Jessica Smith,jessica.smith290@proton.me,United States,2025-11-26,Premium,3280.69
291,Justin Baker,justin.baker291@gmail.com,Canada,2024-01-25,Standard,1719.43
292,Bethan Oliver,bethan.oliver292@hotmail.com,United Kingdom,2022-02-25,Standard,376.98
293,Stephen Mckee,stephen.mckee293@gmail.com,United States,2025-09-10,Basic,588.71
294,Sandra Aguilar,sandra.aguilar294@gmail.com,Japan,2023-10-11,Basic,442.17
295,Michael Dutta,michael.dutta295@yahoo.com,India,2021-10-26,Premium,3363.53
296,Devansh Rajan,devansh.rajan296@yahoo.com,India,2024-11-27,Premium,2147.91
297,Laurent Lopes,laurent.lopes297@hotmail.com,France,2023-03-13,Basic,554.07
298,Cameron Parker,cameron.parker298@yahoo.com,United States,2023-06-21,Basic,554.45
299,Rebecca Valencia,rebecca.valencia299@yahoo.com,Japan,2024-02-15,Standard,1091.19
